Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std
Gradient Boosting,0.9612590799031477,0.9635036496350365,0.8301886792452831,0.8918918918918919,0.9867707655606158,0.9279237152156969,0.006233897318397602
XGBoost,0.9479418886198547,0.9461538461538461,0.7735849056603774,0.8512110726643599,0.9778035510546613,0.9330715628295053,0.004521821805142869
Bagging,0.940677966101695,0.9365079365079365,0.7421383647798742,0.8280701754385965,0.9824050239031428,0.9212611745289507,0.008715695163592808
Decision Tree,0.8886198547215496,0.819047619047619,0.5408805031446541,0.6515151515151515,0.836030098158468,0.877343785815798,0.009377686319814357
Random Forest,0.8861985472154964,0.891566265060241,0.46540880503144655,0.6115702479338843,0.9479316945300934,0.8855210195754826,0.009351125501344391
AdaBoost,0.8414043583535109,0.7121212121212122,0.29559748427672955,0.4177777777777778,0.8293966224434952,0.8428226287076515,0.010019480896749443
